"","total.GEO.id2","NAME","total.01.OccupiedHousingUnits","total.14.MedianHouseholdIncome","total.LessThan5000","total.5000to9999","total.10000to14999","total.15000to19999","total.20000to24999","total.25000to34999","total.35000to49999","total.50000to74999","total.75000to99999","total.100000to149999","total.150000.or.more","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016.x","ATF.Region","Pop2016.y","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"33",37,"North Carolina",3843745,47830,134531.075,149906.055,234468.445,230624.7,226780.955,442030.675,565030.515,684186.61,438186.93,430499.44,303655.855,1340.59373687742,1493.80444966341,2336.46336998637,2298.16069178987,2259.85801359337,4404.80799259725,5630.49369488518,6817.87671897661,4366.50531440075,4289.89995800775,3025.91157752333,9558915,9650963,9746175,9841590,9934399,10035186,10146788,1,10146788,28769,2397.41666666667,283.528147035298,23.6273455862749
"34",38,"North Dakota",313475,60557,7523.4,10031.2,15673.75,12852.475,14733.325,29466.65,43573.025,53604.225,42005.65,49842.525,34482.25,994.060792643046,1325.41439019073,2070.95998467301,1698.18718743187,1946.70238559263,3893.40477118527,5757.26875739098,7082.6831475817,5550.17275892368,6585.65275126018,4556.11196628063,674526,685476,702087,724019,739904,756835,757952,3,757952,4952,412.666666666667,653.339525458077,54.4449604548397
"35",39,"Ohio",4606655,51075,165839.58,188872.855,244152.715,253366.025,253366.025,492912.085,649538.355,852231.175,562011.91,571225.22,368532.4,1429.02450562641,1627.50013140786,2103.84163328333,2183.2318835959,2183.2318835959,4247.37839172294,5597.01264703677,7343.5981539135,4842.80526906728,4922.19551937986,3175.61001250313,11540983,11544824,11550839,11570022,11594408,11605090,11614373,4,11614373,29632,2469.33333333333,255.132153926863,21.2610128272386
"36",40,"Oklahoma",1465951,48568,52774.236,61569.942,83559.207,85025.158,89423.011,159788.659,216960.748,277064.739,170050.316,164186.512,105548.472,1350.61797905213,1575.72097556082,2138.47846683254,2175.99563291732,2288.54713117167,4089.37110324117,5552.54058054765,7090.74439002368,4351.99126583464,4201.92260149552,2701.23595810426,3759603,3786274,3817054,3852415,3877499,3907414,3923561,5,3923561,18364,1530.33333333333,468.044207800006,39.0036839833339
"37",41,"Oregon",1553205,54148,48149.355,57468.585,76107.045,79213.455,82319.865,164639.73,211235.88,292002.54,195703.83,203469.855,144448.065,1196.36605465242,1427.92077490773,1891.03021541835,1968.21512217012,2045.40002892188,4090.80005784377,5248.57365912031,7255.38123466631,4862.64912536146,5055.61139224088,3589.09816395727,3838048,3868031,3899116,3925751,3968371,4024634,4093465,9,4093465,17350,1445.83333333333,423.846301360828,35.3205251134023
"38",42,"Pennsylvania",4956037,55702,148681.11,183373.369,242845.813,257713.924,247801.85,490647.663,659152.921,911910.808,634372.736,669064.995,510471.811,1162.30633062912,1433.51114110925,1898.4336733609,2014.66430642381,1937.1772177152,3835.61089107611,5152.89139912244,7128.81216119195,4959.17367735092,5230.37848783105,3990.58506849332,12712343,12744293,12771854,12781338,12790565,12791904,12784227,8,12784227,30633,2552.75,239.615582545585,19.9679652121321
"39",44,"Rhode Island",407484,58073,15891.876,16706.844,22819.104,18744.264,19151.748,35858.592,49305.564,67234.86,53380.404,60307.632,48083.112,1505.47277537947,1582.67650745022,2161.70449798078,1775.68583762707,1814.28770366244,3396.96421111266,4670.82579027991,6369.30789583623,5056.84445063362,5713.07617323493,4555.02019217379,1053337,1052451,1052901,1053033,1054480,1055607,1056426,6,1056426,1087,90.5833333333333,102.894097646215,8.57450813718456
"40",45,"South Carolina",1857768,47238,74310.72,76168.488,115181.616,107750.544,113323.848,208070.016,271234.128,347402.616,217358.856,198781.176,126328.224,1518.14586562077,1556.09951226129,2353.1260917122,2201.31150515012,2315.17244507168,4250.80842373817,5541.23240951583,7097.33192177712,4440.57665694077,4061.04019053557,2580.84797155532,4635943,4672637,4720760,4767894,4828430,4894834,4961119,1,4961119,13354,1112.83333333333,269.173144203959,22.4310953503299
"41",46,"South Dakota",339437,53017,8825.362,11880.295,18669.035,15614.102,18669.035,35980.322,50576.113,66869.089,48200.054,40732.44,23760.59,1028.69408417345,1384.78049792579,2176.08363959768,1819.99722584533,2176.08363959768,4193.90665086098,5895.20840545553,7794.33594546805,5618.25230587037,4747.8188500313,2769.56099585159,816325,824398,834441,844922,852561,857919,865454,3,865454,6194,516.166666666667,715.6937283784,59.6411440315334
"42",47,"Tennessee",2530260,47275,93619.62,108801.18,151815.6,149285.34,156876.12,288449.64,377008.74,468098.1,280858.86,273268.08,182178.72,1419.54245725889,1649.73853140898,2301.96074150091,2263.59472914256,2378.6927662176,4373.72540885172,5716.53584139392,7097.71228629446,4258.62737177668,4143.52933470163,2762.35288980109,6356671,6397634,6454306,6494821,6544663,6595056,6651194,1,6651194,18427,1535.58333333333,277.048000704836,23.0873333920697
"43",48,"Texas",9421412,55653,301485.184,320328.008,442806.364,471070.6,499334.836,951562.612,1271890.62,1695854.16,1130569.44,1271890.62,1074040.968,1099.12195344605,1167.81707553643,1614.33536912389,1717.37805225946,1820.42073539502,3469.1036655641,4636.92074110053,6182.56098813404,4121.70732542269,4636.92074110053,3915.62195915156,25244310,25646389,26071655,26473525,26944751,27429639,27862596,5,27862596,75956,6329.66666666667,272.609199803206,22.7174333169338
"44",49,"Utah",930980,62912,21412.54,20481.56,32584.3,32584.3,39101.16,84719.18,126613.28,193643.84,139647,143370.92,96821.92,715.987122454384,684.857247565063,1089.54562112624,1089.54562112624,1307.45474535148,2832.81861492822,4233.66298494766,6475.01397697878,4669.48123339816,4794.00073295544,3237.50698848939,2775326,2816124,2855782,2902663,2941836,2990632,3051217,9,3051217,11105,925.416666666667,363.953137387475,30.3294281156229
"45",50,"Vermont",254865,56990,4842.435,7645.95,13507.845,13762.71,14272.44,23447.58,33387.315,49188.945,36190.83,35935.965,22682.985,773.443190094683,1221.22608962318,2157.49942500096,2198.20696132173,2279.62203396328,3745.0933415111,5332.68725802124,7856.55450990915,5780.47015754974,5739.76262122896,3622.97073254878,625982,626730,626444,627140,626984,626088,624594,6,624594,3724,310.333333333333,596.227309260095,49.6856091050079
"46",51,"Virginia",3106895,66262,86993.06,90099.955,118062.01,121168.905,130489.59,257872.285,372827.4,540599.73,397682.56,497103.2,490889.41,1039.6433284769,1076.77344735107,1410.94451721864,1448.07463609282,1559.46499271534,3081.79986655651,4455.61426490098,6460.64068410642,4752.65521589438,5940.81901986797,5866.55878211962,8025773,8110035,8192048,8262692,8317372,8367587,8411808,1,8411808,20580,1715,244.65608344841,20.3880069540341
"47",53,"Washington",2728573,64129,73671.471,81857.19,103685.774,103685.774,114600.066,237385.851,349257.344,496600.286,376543.074,431114.534,362900.209,1028.88948631969,1143.21054035521,1448.06668444993,1448.06668444993,1600.49475649729,3315.31056703011,4877.69830551556,6935.47727815493,5258.76848563396,6020.90884587077,5068.23339557476,6743226,6822520,6895226,6968006,7054196,7160290,7288000,9,7288000,14427,1202.25,197.955543358946,16.4962952799122
"48",54,"West Virginia",734536,42019,29381.44,41868.552,48479.376,52886.592,49213.912,86675.248,114587.616,127074.728,79329.888,69780.92,35257.728,1595.90408315241,2274.16331849219,2633.24173720148,2872.62734967434,2673.13933928029,4707.91704529962,6224.02592429441,6902.28515963419,4308.94102451152,3790.27219748698,1915.0848997829,1854230,1854972,1856560,1853231,1848514,1841053,1831102,4,1831102,10736,894.666666666667,586.313596948723,48.8594664123936
"49",55,"Wisconsin",2319538,55638,57988.45,67266.602,109018.286,111337.824,127574.59,238912.414,324735.32,461588.062,324735.32,315457.168,183243.502,1005.36660626909,1166.22526327214,1890.08921978588,1930.30388403664,2211.80653379199,4142.11041782863,5630.05299510688,8002.71818590192,5630.05299510688,5469.19433810382,3176.95847581031,5690263,5709640,5726177,5742854,5758377,5767891,5778708,3,5778708,18875,1572.91666666667,326.63010486081,27.2191754050675
"50",56,"Wyoming",228937,60214,5036.614,5723.425,10302.165,10760.039,10988.976,21749.015,30677.558,43040.156,32966.928,39148.227,18543.897,858.677191397226,975.769535678666,1756.3851642216,1834.44672707589,1873.47750850304,3707.92423557893,5230.12471123765,7337.78690830357,5620.43252550912,6674.26362404208,3161.49329559888,564513,567725,576765,582684,583642,586555,585501,5,585501,7358,613.166666666667,1256.70152570192,104.725127141827
